id,ksp_rtol,ksp_max_it,pc_setup_on_ksp_cap,steps,converged_steps,all_steps_converged,total_time_s,total_newton_iters,total_ksp_iters,avg_ksp_per_newton,final_energy,score_to_hypre,time_speedup_vs_hypre,output_json
r2e-2_k30_fresh,0.02,30,False,24,24,True,47.0968,720,19027,26.426388888888887,93.704946,0.9151236835182399,2.877995957262489,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r2e-2_k30_fresh.json
r5e-2_k30_reuse,0.05,30,True,24,24,True,51.5617,849,17447,20.550058892815077,93.721554,0.9552475295584041,2.628780664718192,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r5e-2_k30_reuse.json
r1e-2_k30_reuse,0.01,30,True,24,24,True,50.4301,730,20484,28.06027397260274,93.705067,1.0708851290705783,2.68776782120202,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-2_k30_reuse.json
r1e-2_k20_reuse,0.01,20,True,24,24,True,52.7889,910,17796,19.556043956043958,93.705406,1.0801579799781658,2.567668581842016,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-2_k20_reuse.json
r1e-1_k20_reuse,0.1,20,True,24,24,True,59.1073,1108,14961,13.502707581227437,93.704985,1.1021296439556363,2.2931922114527308,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-1_k20_reuse.json
r5e-2_k20_fresh,0.05,20,False,24,24,True,55.9024,985,17151,17.41218274111675,93.705143,1.1299286940474937,2.424661552992358,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r5e-2_k20_fresh.json
r1e-2_k30_fresh,0.01,30,False,24,24,True,50.2838,756,21168,28.0,93.705292,1.1758552228695651,2.695587843400857,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-2_k30_fresh.json
r1e-1_k30_reuse,0.1,30,True,24,24,True,58.5355,1044,16725,16.020114942528735,93.766002,1.1769486703756336,2.3155931016220928,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-1_k30_reuse.json
r2e-2_k30_reuse,0.02,30,True,24,24,True,51.0453,779,20828,26.736842105263158,93.705076,1.1773751279047544,2.655374735773911,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r2e-2_k30_reuse.json
r5e-3_k30_reuse,0.005,30,True,24,24,True,52.778,752,21809,29.00132978723404,93.705377,1.2318264733912605,2.568198870741597,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r5e-3_k30_reuse.json
r2e-2_k20_reuse,0.02,20,True,24,24,True,57.7245,986,18758,19.024340770791074,93.705381,1.2867341804409416,2.3481260123517744,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r2e-2_k20_reuse.json
r5e-2_k20_reuse,0.05,20,True,24,24,True,59.2221,1042,17994,17.268714011516316,93.705446,1.2966033784624211,2.2887469373764184,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r5e-2_k20_reuse.json
r2e-2_k20_fresh,0.02,20,False,24,24,True,60.0793,1021,19551,19.148873653281097,93.705356,1.4156916434693707,2.2560915323580666,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r2e-2_k20_fresh.json
r2e-2_k50_reuse,0.02,50,True,24,24,True,54.3331,700,27912,39.87428571428571,93.705209,1.7439313230021396,2.4946929219941434,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r2e-2_k50_reuse.json
r1e-1_k50_fresh,0.1,50,False,24,24,True,65.3242,1032,24593,23.830426356589147,93.704684,1.919425097112267,2.074949253109873,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-1_k50_fresh.json
r1e-2_k50_reuse,0.01,50,True,24,24,True,55.0011,692,29905,43.21531791907515,93.705339,1.9245893937758871,2.4643943484766666,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-2_k50_reuse.json
r5e-3_k50_reuse,0.005,50,True,24,24,True,58.4888,675,31223,46.2562962962963,93.705761,2.0265582493745073,2.3174419717963097,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r5e-3_k50_reuse.json
r1e-3_k50_fresh,0.001,50,False,24,24,True,55.4752,640,31168,48.7,93.705743,2.0556223701243965,2.4433332371942775,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-3_k50_fresh.json
r1e-2_k50_fresh,0.01,50,False,24,15,False,115.5878,1290,50663,39.27364341085271,nan,4.82464621144059,1.1726531692791107,experiment_scripts/he_gamg_hypre_like_sweep_l3_np16/r1e-2_k50_fresh.json
