id,ksp_rtol,ksp_max_it,pc_policy,prev_conv,new_conv,prev_time,new_time,d_time,prev_newton,new_newton,d_newton,prev_ksp,new_ksp,d_ksp,prev_score,new_score,d_score
r2e-2_k30_fresh,0.02,30,fresh,24/24,24/24,60.3509,55.0945,-5.256400000000006,898,849,-49,23965,22572,-1393,1.6584322225068162,1.4505601805683588,-0.20787204193845743
r5e-2_k30_reuse,0.05,30,reuse,24/24,24/24,64.9344,60.1198,-4.814599999999999,1040,923,-117,25095,23419,-1676,1.979899721805805,1.643032511752502,-0.336867210053303
r1e-2_k30_reuse,0.01,30,reuse,24/24,24/24,63.217,62.746,-0.47099999999999653,922,900,-22,26313,26383,70,1.9212323409094554,1.8951126840344097,-0.026119656875045694
r1e-2_k20_reuse,0.01,20,reuse,24/24,24/24,68.9125,63.8089,-5.103599999999993,1122,1088,-34,24510,21985,-2525,2.045932596307242,1.751078387141092,-0.2948542091661499
r1e-1_k20_reuse,0.1,20,reuse,24/24,24/24,71.103,64.2889,-6.814099999999996,1222,1204,-18,22645,16642,-6003,2.0151639456162638,1.4080899513344352,-0.6070739942818286
r5e-2_k20_fresh,0.05,20,fresh,24/24,24/24,71.7011,64.2422,-7.4589,1187,1126,-61,23875,20810,-3065,2.0817220909767395,1.694320097114434,-0.38740199386230545
r1e-2_k30_fresh,0.01,30,fresh,24/24,24/24,65.5587,63.0,-2.5587000000000018,944,916,-28,27712,26125,-1587,2.0893255166788665,1.8940942133093754,-0.19523130336949102
r1e-1_k30_reuse,0.1,30,reuse,24/24,24/24,65.1899,62.4068,-2.7830999999999975,1111,1104,-7,20736,19322,-1414,1.6647467410020278,1.517625394332362,-0.1471213466696657
r2e-2_k30_reuse,0.02,30,reuse,24/24,24/24,59.5231,60.7418,1.2186999999999983,897,913,16,25031,24676,-355,1.7599624856059748,1.74956931690085,-0.010393168705124856
r5e-3_k30_reuse,0.005,30,reuse,24/24,24/24,62.8697,61.0602,-1.8094999999999999,910,894,-16,26545,26097,-448,1.9257170792339886,1.85850321208331,-0.06721386715067856
r2e-2_k20_reuse,0.02,20,reuse,24/24,24/24,64.4587,64.9997,0.541000000000011,1063,1062,-1,24122,22057,-2065,1.9202424740430817,1.7191729497642565,-0.20106952427882518
r5e-2_k20_reuse,0.05,20,reuse,24/24,24/24,68.7061,64.7543,-3.9518000000000058,1133,1092,-41,24823,19603,-5220,2.0926253618279773,1.5268458048324054,-0.5657795569955719
r2e-2_k20_fresh,0.02,20,fresh,24/24,24/24,67.1476,64.8894,-2.258200000000002,1096,1105,9,22467,21845,-622,1.8096200844160544,1.7629589564965646,-0.04666112791948973
r2e-2_k50_reuse,0.02,50,reuse,24/24,24/24,69.2173,58.241299999999995,-10.975999999999999,862,744,-118,37593,29437,-8156,2.9217173063312907,1.957086844348636,-0.9646304619826547
r1e-2_k50_reuse,0.01,50,reuse,24/24,24/24,70.1919,68.59309999999999,-1.5988000000000113,831,830,-1,38005,36700,-1305,2.9151977935156785,2.78757951114272,-0.12761828237295836
r5e-3_k50_reuse,0.005,50,reuse,24/24,24/24,71.6575,68.2217,-3.4358000000000004,831,791,-40,38866,36851,-2015,2.998410318885351,2.743877149027404,-0.2545331698579467
