id,ksp_rtol,ksp_max_it,pc_setup_on_ksp_cap,return_code,steps,converged_steps,all_steps_converged,total_time_s,total_newton_iters,total_ksp_iters,avg_ksp_per_newton,final_energy,score_to_hypre,time_speedup_vs_hypre
r2e-2_k30_fresh,0.02,30,False,0,24,24,True,47.0968,720,19027,26.426388888888887,93.704946,0.9151236835182399,2.877995957262489
r5e-2_k30_reuse,0.05,30,True,0,24,24,True,51.5617,849,17447,20.550058892815077,93.721554,0.9552475295584041,2.628780664718192
r1e-2_k30_reuse,0.01,30,True,0,24,24,True,50.4301,730,20484,28.06027397260274,93.705067,1.0708851290705783,2.68776782120202
r1e-2_k30_fresh,0.01,30,False,0,24,24,True,50.2838,756,21168,28.0,93.705292,1.1758552228695651,2.695587843400857
r1e-1_k30_reuse,0.1,30,True,0,24,24,True,58.5355,1044,16725,16.020114942528735,93.766002,1.1769486703756336,2.3155931016220928
r2e-2_k30_reuse,0.02,30,True,0,24,24,True,51.0453,779,20828,26.736842105263158,93.705076,1.1773751279047544,2.655374735773911
r5e-3_k30_reuse,0.005,30,True,0,24,24,True,52.778,752,21809,29.00132978723404,93.705377,1.2318264733912605,2.568198870741597
r2e-2_k50_reuse,0.02,50,True,0,24,24,True,54.3331,700,27912,39.87428571428571,93.705209,1.7439313230021396,2.4946929219941434
r1e-2_k50_reuse,0.01,50,True,0,24,24,True,55.0011,692,29905,43.21531791907515,93.705339,1.9245893937758871,2.4643943484766666
r5e-3_k50_reuse,0.005,50,True,0,24,24,True,58.4888,675,31223,46.2562962962963,93.705761,2.0265582493745073,2.3174419717963097
