id,rtol,ksp_max_it,pc_policy,old_time,new_time,d_time,old_newton,new_newton,d_newton,old_ksp,new_ksp,d_ksp,old_score,new_score,d_score
r2e-2_k30_fresh,0.02,30,fresh,47.0968,60.3509,13.254100000000001,720,898,178,19027,23965,4938,0.9151236835182399,1.6584322225068162,0.7433085389885763
r5e-2_k30_reuse,0.05,30,reuse,51.5617,64.9344,13.372699999999995,849,1040,191,17447,25095,7648,0.9552475295584041,1.979899721805805,1.0246521922474008
r1e-2_k30_reuse,0.01,30,reuse,50.4301,63.217,12.786899999999996,730,922,192,20484,26313,5829,1.0708851290705783,1.9212323409094554,0.8503472118388771
r1e-2_k20_reuse,0.01,20,reuse,52.7889,68.9125,16.123599999999996,910,1122,212,17796,24510,6714,1.0801579799781658,2.045932596307242,0.9657746163290761
r1e-1_k20_reuse,0.1,20,reuse,59.1073,71.103,11.995699999999992,1108,1222,114,14961,22645,7684,1.1021296439556363,2.0151639456162638,0.9130343016606275
r5e-2_k20_fresh,0.05,20,fresh,55.9024,71.7011,15.798699999999997,985,1187,202,17151,23875,6724,1.1299286940474937,2.0817220909767395,0.9517933969292458
r1e-2_k30_fresh,0.01,30,fresh,50.2838,65.5587,15.274900000000002,756,944,188,21168,27712,6544,1.1758552228695651,2.0893255166788665,0.9134702938093013
r1e-1_k30_reuse,0.1,30,reuse,58.5355,65.1899,6.654399999999995,1044,1111,67,16725,20736,4011,1.1769486703756336,1.6647467410020278,0.48779807062639424
r2e-2_k30_reuse,0.02,30,reuse,51.0453,59.5231,8.477800000000002,779,897,118,20828,25031,4203,1.1773751279047544,1.7599624856059748,0.5825873577012204
r5e-3_k30_reuse,0.005,30,reuse,52.778,62.8697,10.091700000000003,752,910,158,21809,26545,4736,1.2318264733912605,1.9257170792339886,0.6938906058427281
r2e-2_k20_reuse,0.02,20,reuse,57.7245,64.4587,6.734199999999994,986,1063,77,18758,24122,5364,1.2867341804409416,1.9202424740430817,0.6335082936021401
r5e-2_k20_reuse,0.05,20,reuse,59.2221,68.7061,9.484000000000009,1042,1133,91,17994,24823,6829,1.2966033784624211,2.0926253618279773,0.7960219833655562
r2e-2_k20_fresh,0.02,20,fresh,60.0793,67.1476,7.068299999999994,1021,1096,75,19551,22467,2916,1.4156916434693707,1.8096200844160544,0.39392844094668367
r2e-2_k50_reuse,0.02,50,reuse,54.3331,69.2173,14.884199999999993,700,862,162,27912,37593,9681,1.7439313230021396,2.9217173063312907,1.177785983329151
r1e-2_k50_reuse,0.01,50,reuse,55.0011,70.1919,15.190800000000003,692,831,139,29905,38005,8100,1.9245893937758871,2.9151977935156785,0.9906083997397914
r5e-3_k50_reuse,0.005,50,reuse,58.4888,71.6575,13.168700000000001,675,831,156,31223,38866,7643,2.0265582493745073,2.998410318885351,0.9718520695108435
