solver,nprocs,total_time_s,final_energy,total_newton_iters,total_linear_iters,result
fenics_custom,1,13.594957,-7.960004826791758,5,10,completed
fenics_custom,2,7.309639,-7.96000494732152,5,10,completed
fenics_custom,4,4.816273,-7.960005688598329,6,12,completed
fenics_custom,8,2.993229,-7.96000568957705,6,12,completed
fenics_custom,16,1.55345,-7.960005690089586,6,12,completed
fenics_custom,32,1.18509,-7.9600056907534915,6,12,completed
jax_petsc_element,1,10.131135,-7.960004375768515,6,11,completed
jax_petsc_element,2,5.863602,-7.960004670286393,6,11,completed
jax_petsc_element,4,3.831775,-7.960004891477544,6,11,completed
jax_petsc_element,8,2.760583,-7.960005337349323,6,11,completed
jax_petsc_element,16,1.540931,-7.9600053383245095,6,11,completed
jax_petsc_element,32,1.144367,-7.9600034469239045,6,11,completed
jax_petsc_local_sfd,1,11.392179,-7.960004375768515,6,11,completed
jax_petsc_local_sfd,2,6.5895,-7.960004670286393,6,11,completed
jax_petsc_local_sfd,4,4.239504,-7.960004891477544,6,11,completed
jax_petsc_local_sfd,8,3.140911,-7.960005337349324,6,11,completed
jax_petsc_local_sfd,16,1.761729,-7.9600053383245095,6,11,completed
jax_petsc_local_sfd,32,1.45402,-7.9600034469239045,6,11,completed
